testClassName,testMethodName,potentialTargetQualifiedName,AAA
PropertyConfigReaderTest,loadAtNext,NEW com.netflix.archaius.readers.PropertiesConfigReader(),0
PropertyConfigReaderTest,loadAtNext,com.netflix.archaius.config.MapConfig.builder(),0
PropertyConfigReaderTest,loadAtNext,"com.netflix.archaius.config.MapConfig.Builder.put(String, String)",0
PropertyConfigReaderTest,loadAtNext,com.netflix.archaius.config.MapConfig.Builder.build(),0
PropertyConfigReaderTest,loadAtNext,com.netflix.archaius.interpolate.ConfigStrLookup.from(Config),0
PropertyConfigReaderTest,loadAtNext,"com.netflix.archaius.readers.PropertiesConfigReader.load(ClassLoader, String, StrInterpolator, Lookup)",1
PropertyConfigReaderTest,loadAtNext,NEW com.netflix.archaius.visitor.PrintStreamVisitor(),0
PropertyConfigReaderTest,loadAtNext,com.netflix.archaius.api.Config.accept(Visitor<Void>),2
PropertyConfigReaderTest,loadAtNext,com.netflix.archaius.api.Config.getString(String),2
PropertyConfigReaderTest,loadAtNext,"ASSERT org.junit.jupiter.api.Assertions.assertEquals(Object, Object)",2
