testPackage,testClassName,testMethodName,potentialTargetQualifiedName,AAA
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,com.cloud.utils.db.TransactionLegacy.open(String),0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,NEW org.apache.cloudstack.network.ssl.CertServiceImpl(),0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,MOCK org.mockito.Mockito.mock(Class<AccountManager>),0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,"NEW com.cloud.user.AccountVO(String, long, String, short, String)",0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,MOCK org.mockito.Matchers.anyLong(),0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,com.cloud.user.AccountService.getAccount(long),0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,MOCK org.mockito.Mockito.when(Account),0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,MOCK org.mockito.stubbing.OngoingStubbing<com.cloud.user.Account>.thenReturn(Account),0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,MOCK org.mockito.Mockito.mock(Class<DomainDao>),0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,"NEW com.cloud.domain.DomainVO(String, long, Long, String)",0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,MOCK org.mockito.Matchers.anyLong(),0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,com.cloud.utils.db.GenericDao.findByIdIncludingRemoved(Long),0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,MOCK org.mockito.Mockito.when(DomainVO),0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,MOCK org.mockito.stubbing.OngoingStubbing<com.cloud.domain.DomainVO>.thenReturn(DomainVO),0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,MOCK org.mockito.Mockito.mock(Class<SslCertDao>),0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,MOCK org.mockito.Matchers.any(Class<SslCertVO>),0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,com.cloud.utils.db.GenericDao.persist(SslCertVO),0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,MOCK org.mockito.Mockito.when(SslCertVO),0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,NEW com.cloud.network.dao.SslCertVO(),0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,MOCK org.mockito.stubbing.OngoingStubbing<com.cloud.network.dao.SslCertVO>.thenReturn(SslCertVO),0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,MOCK org.mockito.Mockito.mock(Class<AccountDao>),0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,MOCK org.mockito.Matchers.anyLong(),0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,com.cloud.utils.db.GenericDao.findByIdIncludingRemoved(Long),0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,MOCK org.mockito.Mockito.when(AccountVO),0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,MOCK org.mockito.stubbing.OngoingStubbing<com.cloud.user.AccountVO>.thenReturn(AccountVO),0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,NEW org.apache.cloudstack.network.ssl.CertServiceTest.UploadSslCertCmdExtn(),0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,MOCK org.mockito.Mockito.spy(UploadSslCertCmd),0
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,org.apache.cloudstack.network.ssl.CertServiceImpl.uploadSslCert(UploadSslCertCmd),1
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,MOCK org.mockito.Mockito.atLeastOnce(),2
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,"ASSERT org.mockito.Mockito.verify(UploadSslCertCmd, VerificationMode)",2
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,GET org.apache.cloudstack.api.command.user.loadbalancer.UploadSslCertCmd.getAccountName(),2
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,MOCK org.mockito.Mockito.times(int),2
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,"ASSERT org.mockito.Mockito.verify(UploadSslCertCmd, VerificationMode)",2
org.apache.cloudstack.network.ssl,CertServiceTest,runUploadSslCertSelfSignedNoPassword,GET org.apache.cloudstack.api.command.user.loadbalancer.UploadSslCertCmd.getCert(),2
