testClassName,testMethodName,potentialTargetQualifiedName,AAA
UnorderedWorkAssignerReplicationIT,dataWasReplicatedToThePeerWithoutDrain,     ASSERT org.junit.Assert.assertTrue(boolean),0
UnorderedWorkAssignerReplicationIT,dataWasReplicatedToThePeerWithoutDrain,     ASSERT org.junit.Assert.assertTrue(boolean),0
UnorderedWorkAssignerReplicationIT,dataWasReplicatedToThePeerWithoutDrain,"NEW org.apache.accumulo.miniclusterImpl.MiniAccumuloConfigImpl(File, String)",0
UnorderedWorkAssignerReplicationIT,dataWasReplicatedToThePeerWithoutDrain,org.apache.accumulo.miniclusterImpl.MiniAccumuloConfigImpl.setNumTservers(int),0
UnorderedWorkAssignerReplicationIT,dataWasReplicatedToThePeerWithoutDrain,org.apache.accumulo.miniclusterImpl.MiniAccumuloConfigImpl.setInstanceName(String),0
UnorderedWorkAssignerReplicationIT,dataWasReplicatedToThePeerWithoutDrain,TEST org.apache.accumulo.test.functional.ConfigurableMacBase.getCluster(),0
UnorderedWorkAssignerReplicationIT,dataWasReplicatedToThePeerWithoutDrain,org.apache.accumulo.miniclusterImpl.MiniAccumuloClusterImpl.getConfig(),0
UnorderedWorkAssignerReplicationIT,dataWasReplicatedToThePeerWithoutDrain,     org.apache.accumulo.miniclusterImpl.MiniAccumuloConfigImpl.getSiteConfig(),0
UnorderedWorkAssignerReplicationIT,dataWasReplicatedToThePeerWithoutDrain,     org.apache.accumulo.core.conf.Property.getKey(),0
UnorderedWorkAssignerReplicationIT,dataWasReplicatedToThePeerWithoutDrain,     org.apache.accumulo.core.conf.Property.getKey(),0
UnorderedWorkAssignerReplicationIT,dataWasReplicatedToThePeerWithoutDrain,     org.apache.accumulo.core.conf.Property.getKey(),0
UnorderedWorkAssignerReplicationIT,dataWasReplicatedToThePeerWithoutDrain,"     ASSERT org.junit.Assert.assertNotNull(String, Object)",0
UnorderedWorkAssignerReplicationIT,dataWasReplicatedToThePeerWithoutDrain,     org.apache.accumulo.core.conf.Property.getKey(),0
UnorderedWorkAssignerReplicationIT,dataWasReplicatedToThePeerWithoutDrain,     org.apache.accumulo.core.conf.Property.getKey(),0
UnorderedWorkAssignerReplicationIT,dataWasReplicatedToThePeerWithoutDrain,"     ASSERT org.junit.Assert.assertNotNull(String, Object)",0
UnorderedWorkAssignerReplicationIT,dataWasReplicatedToThePeerWithoutDrain,     org.apache.accumulo.core.conf.Property.getKey(),0
UnorderedWorkAssignerReplicationIT,dataWasReplicatedToThePeerWithoutDrain,     org.apache.accumulo.core.conf.Property.getKey(),0
UnorderedWorkAssignerReplicationIT,dataWasReplicatedToThePeerWithoutDrain,     org.apache.accumulo.core.conf.Property.getKey(),0
