testClassName,testMethodName,potentialTargetQualifiedName,AAA
ReadWriteIT,sunnyDay,org.apache.accumulo.cluster.AccumuloCluster.getClusterControl(),0
ReadWriteIT,sunnyDay,org.apache.accumulo.cluster.ClusterControl.startAllServers(ServerType),0
ReadWriteIT,sunnyDay,org.apache.accumulo.core.client.Accumulo.newClient(),0
ReadWriteIT,sunnyDay,     TEST org.apache.accumulo.harness.AccumuloClusterHarness.getCluster(),0
ReadWriteIT,sunnyDay,     org.apache.accumulo.cluster.AccumuloCluster.getClientProperties(),0
ReadWriteIT,sunnyDay,org.apache.accumulo.core.client.AccumuloClient.PropertyOptions.from(Properties),0
ReadWriteIT,sunnyDay,org.apache.accumulo.core.client.AccumuloClient.ClientFactory.build(),0
ReadWriteIT,sunnyDay,TEST org.apache.accumulo.harness.AccumuloITBase.getUniqueNames(int),0
ReadWriteIT,sunnyDay,     TEST org.apache.accumulo.harness.AccumuloClusterHarness.getCluster(),0
ReadWriteIT,sunnyDay,     org.apache.accumulo.cluster.AccumuloCluster.getClientProperties(),0
ReadWriteIT,sunnyDay,     org.apache.accumulo.core.clientImpl.ClientInfo.from(Properties),0
ReadWriteIT,sunnyDay,          org.apache.accumulo.core.clientImpl.ClientInfo.getProperties(),0
ReadWriteIT,sunnyDay,"          NEW org.apache.accumulo.test.TestIngest.IngestParams(Properties, String, int)",0
ReadWriteIT,sunnyDay,               org.apache.accumulo.core.clientImpl.ClientContext.getHadoopConf(),0
ReadWriteIT,sunnyDay,                    TEST org.apache.accumulo.test.TestIngest.generateValues(int),0
ReadWriteIT,sunnyDay,                              NEW org.apache.hadoop.io.Text(String),0
ReadWriteIT,sunnyDay,                         org.apache.accumulo.core.client.AccumuloClient.tableOperations(),0
ReadWriteIT,sunnyDay,                         org.apache.accumulo.core.client.admin.TableOperations.exists(String),0
ReadWriteIT,sunnyDay,                         org.apache.accumulo.core.client.AccumuloClient.tableOperations(),0
ReadWriteIT,sunnyDay,                         org.apache.accumulo.core.client.admin.TableOperations.create(String),0
ReadWriteIT,sunnyDay,                         org.apache.accumulo.core.client.AccumuloClient.tableOperations(),0
ReadWriteIT,sunnyDay,"                         org.apache.accumulo.core.client.admin.TableOperations.addSplits(String, SortedSet<Text>)",0
ReadWriteIT,sunnyDay,                    org.apache.accumulo.core.file.FileOperations.getInstance(),0
ReadWriteIT,sunnyDay,                    org.apache.accumulo.core.file.FileOperations.newWriterBuilder(),0
ReadWriteIT,sunnyDay,                    org.apache.accumulo.core.clientImpl.ClientContext.getHadoopConf(),0
ReadWriteIT,sunnyDay,                    org.apache.accumulo.core.crypto.CryptoServiceFactory.newDefaultInstance(),0
ReadWriteIT,sunnyDay,"                    org.apache.accumulo.core.file.FileOperations.WriterBuilder.forFile(String, FileSystem, Configuration, CryptoService)",0
ReadWriteIT,sunnyDay,                    org.apache.accumulo.core.conf.DefaultConfiguration.getInstance(),0
ReadWriteIT,sunnyDay,                    org.apache.accumulo.core.file.FileOperations.WriterTableConfiguration.withTableConfiguration(AccumuloConfiguration),0
ReadWriteIT,sunnyDay,                    org.apache.accumulo.core.file.FileOperations.WriterBuilder.build(),0
ReadWriteIT,sunnyDay,                    org.apache.accumulo.core.file.FileSKVWriter.startDefaultLocalityGroup(),1
ReadWriteIT,sunnyDay,                    org.apache.accumulo.core.client.AccumuloClient.createBatchWriter(String),0
ReadWriteIT,sunnyDay,                    org.apache.accumulo.core.conf.ClientProperty.getValue(Properties),0
ReadWriteIT,sunnyDay,                    org.apache.accumulo.core.client.AccumuloClient.securityOperations(),0
ReadWriteIT,sunnyDay,"                    org.apache.accumulo.core.client.admin.SecurityOperations.changeUserAuthorizations(String, Authorizations)",0
ReadWriteIT,sunnyDay,                    org.apache.accumulo.core.security.ColumnVisibility.getExpression(),0
ReadWriteIT,sunnyDay,                    NEW org.apache.hadoop.io.Text(byte[]),0
ReadWriteIT,sunnyDay,"                         org.apache.accumulo.core.util.FastFormat.toZeroPaddedString(long, int, int, byte[])",0
ReadWriteIT,sunnyDay,                         NEW org.apache.hadoop.io.Text(byte[]),0
ReadWriteIT,sunnyDay,                    NEW org.apache.accumulo.core.data.Mutation(Text),0
ReadWriteIT,sunnyDay,                    NEW org.apache.hadoop.io.Text(String),0
ReadWriteIT,sunnyDay,"                    org.apache.accumulo.core.util.FastFormat.toZeroPaddedString(long, int, int, byte[])",0
ReadWriteIT,sunnyDay,                    NEW org.apache.hadoop.io.Text(byte[]),0
ReadWriteIT,sunnyDay,"                    NEW org.apache.accumulo.core.data.Key(Text, Text, Text, Text)",0
ReadWriteIT,sunnyDay,                    org.apache.accumulo.core.data.Key.setTimestamp(long),0
ReadWriteIT,sunnyDay,                    org.apache.accumulo.core.data.Key.setTimestamp(long),0
ReadWriteIT,sunnyDay,                    org.apache.accumulo.core.data.Key.setDeleted(boolean),0
ReadWriteIT,sunnyDay,                    org.apache.accumulo.core.data.Key.setDeleted(boolean),0
ReadWriteIT,sunnyDay,                    org.apache.accumulo.core.data.Key.getSize(),0
ReadWriteIT,sunnyDay,                    NEW org.apache.accumulo.core.data.Value(byte[]),0
ReadWriteIT,sunnyDay,"                    org.apache.accumulo.core.file.FileSKVWriter.append(Key, Value)",1
