testClassName,testMethodName,potentialTargetQualifiedName,AAA
VolumeIT,testAddVolumes,org.apache.accumulo.core.client.Accumulo.newClient(),0
VolumeIT,testAddVolumes,     org.apache.accumulo.miniclusterImpl.MiniAccumuloClusterImpl.getClientProperties(),0
VolumeIT,testAddVolumes,org.apache.accumulo.core.client.AccumuloClient.PropertyOptions.from(Properties),0
VolumeIT,testAddVolumes,org.apache.accumulo.core.client.AccumuloClient.ClientFactory.build(),0
VolumeIT,testAddVolumes,TEST org.apache.accumulo.harness.AccumuloITBase.getUniqueNames(int),0
VolumeIT,testAddVolumes,     org.apache.accumulo.core.client.AccumuloClient.instanceOperations(),0
VolumeIT,testAddVolumes,     org.apache.accumulo.core.client.admin.InstanceOperations.getInstanceID(),0
VolumeIT,testAddVolumes,          org.apache.accumulo.core.client.AccumuloClient.tableOperations(),0
VolumeIT,testAddVolumes,          org.apache.accumulo.core.client.admin.TableOperations.exists(String),0
VolumeIT,testAddVolumes,          ASSERT org.junit.Assert.assertFalse(boolean),0
VolumeIT,testAddVolumes,               NEW org.apache.hadoop.io.Text(String),0
VolumeIT,testAddVolumes,               org.apache.accumulo.core.client.AccumuloClient.tableOperations(),0
VolumeIT,testAddVolumes,               org.apache.accumulo.core.client.admin.TableOperations.create(String),0
VolumeIT,testAddVolumes,               org.apache.accumulo.core.client.AccumuloClient.tableOperations(),0
VolumeIT,testAddVolumes,"               org.apache.accumulo.core.client.admin.TableOperations.addSplits(String, SortedSet<Text>)",0
VolumeIT,testAddVolumes,               org.apache.accumulo.core.client.AccumuloClient.createBatchWriter(String),0
VolumeIT,testAddVolumes,               NEW org.apache.accumulo.core.data.Mutation(CharSequence),0
VolumeIT,testAddVolumes,"               org.apache.accumulo.core.data.Mutation.put(CharSequence, CharSequence, CharSequence)",0
VolumeIT,testAddVolumes,               org.apache.accumulo.core.client.BatchWriter.addMutation(Mutation),0
VolumeIT,testAddVolumes,"          org.apache.accumulo.core.client.AccumuloClient.createScanner(String, Authorizations)",0
VolumeIT,testAddVolumes,               org.apache.accumulo.core.data.Key.getRow(),0
VolumeIT,testAddVolumes,               org.apache.accumulo.core.data.Key.getColumnFamily(),0
VolumeIT,testAddVolumes,               org.apache.accumulo.core.data.Key.getColumnQualifier(),0
VolumeIT,testAddVolumes,               org.apache.accumulo.core.client.ScannerBase.close(),0
VolumeIT,testAddVolumes,"               ASSERT org.junit.Assert.assertEquals(Object, Object)",0
VolumeIT,testAddVolumes,          org.apache.accumulo.core.client.AccumuloClient.tableOperations(),0
VolumeIT,testAddVolumes,"          org.apache.accumulo.core.client.admin.TableOperations.flush(String, Text, Text, boolean)",0
VolumeIT,testAddVolumes,"          org.apache.accumulo.core.client.AccumuloClient.createScanner(String, Authorizations)",0
VolumeIT,testAddVolumes,"          TEST org.apache.accumulo.test.VolumeIT.verifyData(List<String>, Scanner)",0
VolumeIT,testAddVolumes,          org.apache.accumulo.core.client.AccumuloClient.tableOperations(),0
VolumeIT,testAddVolumes,          org.apache.accumulo.core.client.admin.TableOperations.tableIdMap(),0
VolumeIT,testAddVolumes,          org.apache.accumulo.core.data.TableId.of(String),0
VolumeIT,testAddVolumes,"          org.apache.accumulo.core.client.AccumuloClient.createScanner(String, Authorizations)",0
