testClassName,testMethodName,potentialTargetQualifiedName,AAA
RFileTest,testSample,org.apache.accumulo.core.file.rfile.RFile.setSampleBufferSize(int),0
RFileTest,testSample,"NEW org.apache.accumulo.core.conf.ConfigurationCopy(Iterable<Entry<String,String>>)",0
RFileTest,testSample,org.apache.accumulo.core.conf.DefaultConfiguration.getInstance(),0
RFileTest,testSample,"org.apache.accumulo.core.conf.ConfigurationCopy.set(Property, String)",0
RFileTest,testSample,"org.apache.accumulo.core.conf.ConfigurationCopy.set(String, String)",0
RFileTest,testSample,"org.apache.accumulo.core.conf.ConfigurationCopy.set(String, String)",0
RFileTest,testSample,org.apache.accumulo.core.sample.impl.SamplerConfigurationImpl.newSamplerConfig(AccumuloConfiguration),0
RFileTest,testSample,"org.apache.accumulo.core.sample.impl.SamplerFactory.newSampler(SamplerConfigurationImpl, AccumuloConfiguration)",0
RFileTest,testSample,NEW org.apache.accumulo.core.file.rfile.RFileTest.TestRFile(AccumuloConfiguration),0
RFileTest,testSample,               NEW org.apache.hadoop.fs.FileSystem.Statistics(String),0
RFileTest,testSample,"               NEW org.apache.hadoop.fs.FSDataOutputStream(OutputStream, Statistics)",0
RFileTest,testSample,"               org.apache.accumulo.core.crypto.CryptoServiceFactory.newInstance(AccumuloConfiguration, ClassloaderType)",0
RFileTest,testSample,"               NEW org.apache.accumulo.core.file.rfile.bcfile.BCFile.Writer(FSDataOutputStream, RateLimiter, String, Configuration, CryptoService)",0
RFileTest,testSample,               org.apache.accumulo.core.sample.impl.SamplerConfigurationImpl.newSamplerConfig(AccumuloConfiguration),0
RFileTest,testSample,"               org.apache.accumulo.core.sample.impl.SamplerFactory.newSampler(SamplerConfigurationImpl, AccumuloConfiguration)",0
RFileTest,testSample,"               NEW org.apache.accumulo.core.file.rfile.RFile.Writer(Writer, int, int, SamplerConfigurationImpl, Sampler)",0
RFileTest,testSample,               org.apache.accumulo.core.file.rfile.RFile.Writer.startDefaultLocalityGroup(),0
RFileTest,testSample,"     NEW org.apache.accumulo.core.data.Key(CharSequence, CharSequence, CharSequence)",0
RFileTest,testSample,"     NEW org.apache.accumulo.core.data.Key(CharSequence, CharSequence, CharSequence)",0
RFileTest,testSample,     NEW org.apache.accumulo.core.data.Value(byte[]),0
RFileTest,testSample,     NEW org.apache.accumulo.core.data.Value(byte[]),0
RFileTest,testSample,     org.apache.accumulo.core.client.sample.Sampler.accept(Key),0
RFileTest,testSample,          org.apache.accumulo.core.data.Key.getRowData(),0
RFileTest,testSample,          org.apache.accumulo.core.data.ByteSequence.toArray(),0
RFileTest,testSample,          org.apache.accumulo.core.data.Key.getColumnFamilyData(),0
RFileTest,testSample,          org.apache.accumulo.core.data.ByteSequence.toArray(),0
RFileTest,testSample,          org.apache.accumulo.core.data.Key.getColumnQualifierData(),0
RFileTest,testSample,          org.apache.accumulo.core.data.ByteSequence.toArray(),0
RFileTest,testSample,          org.apache.accumulo.core.data.Key.getColumnVisibilityData(),0
RFileTest,testSample,          org.apache.accumulo.core.data.ByteSequence.toArray(),0
RFileTest,testSample,          org.apache.accumulo.core.data.Key.getTimestamp(),0
RFileTest,testSample,          org.apache.accumulo.core.data.Key.isDeleted(),0
RFileTest,testSample,          org.apache.accumulo.core.data.Value.get(),0
RFileTest,testSample,"     org.apache.accumulo.core.file.rfile.RFile.Writer.append(Key, Value)",0
