testClassName,testMethodName,potentialTargetQualifiedName,AAA
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,               TEST org.apache.druid.tests.indexer.AbstractIndexerTest.getResourceAsStream(String),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"          NEW org.apache.druid.tests.indexer.AbstractStreamIndexingTest.GeneratedTestConfig(String, String)",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,               org.apache.druid.java.util.common.io.Closer.create(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,               org.apache.druid.java.util.common.io.Closer.register(Closeable),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                    TEST org.apache.druid.tests.indexer.AbstractStreamIndexingTest.GeneratedTestConfig.getSupervisorId(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                    TEST org.apache.druid.tests.indexer.AbstractStreamIndexingTest.GeneratedTestConfig.getSupervisorId(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                              org.apache.druid.java.util.common.StringUtils.format(String, Object[])",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                         org.apache.druid.java.util.common.StringUtils.urlEncode(String),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                         org.apache.druid.java.util.common.StringUtils.format(String, Object[])",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                         NEW org.apache.druid.java.util.http.client.Request(HttpMethod, URL)",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                         org.apache.druid.java.util.http.client.response.StatusResponseHandler.getInstance(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                         org.apache.druid.java.util.http.client.HttpClient.go(Request, HttpResponseHandler<StatusResponseHolder,StatusResponseHolder>)",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                         org.apache.druid.java.util.http.client.response.StatusResponseHolder.getStatus(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                         org.apache.druid.java.util.http.client.response.StatusResponseHolder.getStatus(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                         org.apache.druid.java.util.http.client.response.StatusResponseHolder.getContent(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                         NEW org.apache.druid.java.util.common.ISE(String, Object[])",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                         org.apache.druid.java.util.common.logger.Logger.info(String, Object[])",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                    org.apache.druid.java.util.common.logger.Logger.warn(Throwable, String, Object[])",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                    TEST org.apache.druid.tests.indexer.AbstractStreamIndexingTest.GeneratedTestConfig.getFullDatasourceName(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                                             org.apache.druid.java.util.common.StringUtils.format(String, Object[])",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                        org.apache.druid.java.util.common.StringUtils.urlEncode(String),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                                        org.apache.druid.java.util.common.StringUtils.format(String, Object[])",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                                        NEW org.apache.druid.java.util.http.client.Request(HttpMethod, URL)",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                                        org.apache.druid.java.util.http.client.HttpClient.go(Request, HttpResponseHandler<StatusResponseHolder,StatusResponseHolder>)",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                        org.apache.druid.java.util.http.client.response.StatusResponseHolder.getStatus(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                        org.apache.druid.java.util.http.client.response.StatusResponseHolder.getStatus(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                        org.apache.druid.java.util.http.client.response.StatusResponseHolder.getContent(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                                        NEW org.apache.druid.java.util.common.ISE(String, Object[])",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                   org.apache.druid.java.util.http.client.response.StatusResponseHolder.getContent(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                   NEW anonymous(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                                        org.apache.druid.java.util.common.StringUtils.format(String, Object[])",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                                                  NEW org.apache.druid.java.util.common.ISE(String, Object[])",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                                                  org.apache.druid.java.util.common.logger.Logger.info(String, Object[])",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                             org.apache.druid.java.util.common.StringUtils.urlEncode(String),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                                             org.apache.druid.java.util.common.StringUtils.format(String, Object[])",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                                  TEST org.apache.druid.testing.clients.OverlordResourceTestClient.getIndexerURL(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                                                  org.apache.druid.java.util.common.StringUtils.format(String, Object[])",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                                                       NEW org.apache.druid.java.util.http.client.Request(HttpMethod, URL)",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                                       org.apache.druid.java.util.http.client.response.StatusResponseHandler.getInstance(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                                                       org.apache.druid.java.util.http.client.HttpClient.go(Request, HttpResponseHandler<StatusResponseHolder,StatusResponseHolder>)",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                                       org.apache.druid.java.util.http.client.response.StatusResponseHolder.getStatus(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                                       org.apache.druid.java.util.http.client.response.StatusResponseHolder.getStatus(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                                       org.apache.druid.java.util.http.client.response.StatusResponseHolder.getContent(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                                                       NEW org.apache.druid.java.util.common.ISE(String, Object[])",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                                                       org.apache.druid.java.util.common.logger.Logger.error(Throwable, String, Object[])",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                                  org.apache.druid.java.util.http.client.response.StatusResponseHolder.getContent(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                                                  org.apache.druid.java.util.common.logger.Logger.info(String, Object[])",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                                  org.apache.druid.java.util.http.client.response.StatusResponseHolder.getContent(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                                  NEW anonymous(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                             org.apache.druid.java.util.common.StringUtils.urlEncode(String),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                                             org.apache.druid.java.util.common.StringUtils.format(String, Object[])",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                             TEST org.apache.druid.testing.clients.OverlordResourceTestClient.getTasks(String),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                             org.apache.druid.java.util.common.StringUtils.urlEncode(String),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                                             org.apache.druid.java.util.common.StringUtils.format(String, Object[])",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                             TEST org.apache.druid.testing.clients.OverlordResourceTestClient.getTasks(String),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                   org.apache.druid.java.util.common.Intervals.of(String),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                        TEST org.apache.druid.testing.clients.CoordinatorResourceTestClient.getCoordinatorURL(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                        org.apache.druid.java.util.common.StringUtils.urlEncode(String),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                                        org.apache.druid.java.util.common.StringUtils.format(String, Object[])",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                                        TEST org.apache.druid.testing.clients.CoordinatorResourceTestClient.makeRequest(HttpMethod, String)",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                   NEW anonymous(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                                             NEW org.apache.druid.java.util.common.ISE(String, Object[])",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                                             org.apache.druid.java.util.common.logger.Logger.info(String, Object[])",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                                  TEST org.apache.druid.testing.clients.CoordinatorResourceTestClient.getCoordinatorURL(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                                                  org.apache.druid.java.util.common.StringUtils.format(String, Object[])",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                                             TEST org.apache.druid.testing.clients.CoordinatorResourceTestClient.makeRequest(HttpMethod, String)",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                             org.apache.druid.java.util.http.client.response.StatusResponseHolder.getContent(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                             NEW anonymous(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                        TEST org.apache.druid.testing.clients.CoordinatorResourceTestClient.getCoordinatorURL(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                        org.apache.druid.java.util.common.StringUtils.urlEncode(String),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                                        org.apache.druid.java.util.common.StringUtils.format(String, Object[])",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                                        TEST org.apache.druid.testing.clients.CoordinatorResourceTestClient.makeRequest(HttpMethod, String)",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                                   TEST org.apache.druid.tests.indexer.AbstractIndexerTest.waitForAllTasksToCompleteForDataSource(String),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                    org.apache.druid.java.util.common.logger.Logger.warn(Throwable, String, Object[])",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                    TEST org.apache.druid.tests.indexer.AbstractStreamIndexingTest.GeneratedTestConfig.getStreamName(),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,                    TEST org.apache.druid.testing.utils.StreamAdminClient.deleteStream(String),0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"                    org.apache.druid.java.util.common.logger.Logger.warn(Throwable, String, Object[])",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,"          TEST org.apache.druid.tests.indexer.AbstractStreamIndexingTest.createStreamEventWriter(IntegrationTestingConfig, Boolean)",0
ITKafkaIndexingServiceNonTransactionalSerializedTest,testKafkaIndexDataWithLosingHistorical,          TEST org.apache.druid.tests.indexer.AbstractStreamIndexingTest.GeneratedTestConfig.getStreamIngestionPropsTransform(),0
