testClassName,testMethodName,potentialTargetQualifiedName,AAA
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,"com.google.gson.Gson.fromJson(String, Class<JsonElement>)",1
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,ASSERT com.google.common.truth.Truth.assertThat(Object),2
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,NEW com.google.gson.JsonPrimitive(Number),0
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,ASSERT com.google.common.truth.Subject.isEqualTo(Object),2
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,"com.google.gson.Gson.fromJson(String, Class<JsonPrimitive>)",1
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,ASSERT com.google.common.truth.Truth.assertThat(Object),2
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,NEW com.google.gson.JsonPrimitive(Number),0
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,ASSERT com.google.common.truth.Subject.isEqualTo(Object),2
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,"com.google.gson.Gson.fromJson(String, Class<JsonElement>)",1
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,ASSERT com.google.common.truth.Truth.assertThat(Object),2
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,NEW com.google.gson.JsonPrimitive(Boolean),0
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,ASSERT com.google.common.truth.Subject.isEqualTo(Object),2
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,"com.google.gson.Gson.fromJson(String, Class<JsonPrimitive>)",1
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,ASSERT com.google.common.truth.Truth.assertThat(Object),2
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,NEW com.google.gson.JsonPrimitive(Boolean),0
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,ASSERT com.google.common.truth.Subject.isEqualTo(Object),2
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,"com.google.gson.Gson.fromJson(String, Class<JsonElement>)",1
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,ASSERT com.google.common.truth.Truth.assertThat(Object),2
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,NEW com.google.gson.JsonPrimitive(String),0
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,ASSERT com.google.common.truth.Subject.isEqualTo(Object),2
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,"com.google.gson.Gson.fromJson(String, Class<JsonPrimitive>)",1
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,ASSERT com.google.common.truth.Truth.assertThat(Object),2
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,NEW com.google.gson.JsonPrimitive(String),0
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,ASSERT com.google.common.truth.Subject.isEqualTo(Object),2
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,"com.google.gson.Gson.fromJson(String, Class<JsonElement>)",1
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,ASSERT com.google.common.truth.Truth.assertThat(Object),2
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,NEW com.google.gson.JsonPrimitive(Character),0
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,ASSERT com.google.common.truth.Subject.isEqualTo(Object),2
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,"com.google.gson.Gson.fromJson(String, Class<JsonPrimitive>)",1
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,ASSERT com.google.common.truth.Truth.assertThat(Object),2
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,NEW com.google.gson.JsonPrimitive(Character),0
DefaultTypeAdaptersTest,testJsonPrimitiveDeserialization,ASSERT com.google.common.truth.Subject.isEqualTo(Object),2
