testClassName,testMethodName,potentialTargetQualifiedName,AAA
ExclusionStrategyFunctionalTest,testExclusionStrategySerializationDoesNotImpactDeserialization,NEW com.google.gson.functional.ExclusionStrategyFunctionalTest.MyExclusionStrategy(Class<?>),0
ExclusionStrategyFunctionalTest,testExclusionStrategySerializationDoesNotImpactDeserialization,"TEST com.google.gson.functional.ExclusionStrategyFunctionalTest.createGson(ExclusionStrategy, boolean)",0
ExclusionStrategyFunctionalTest,testExclusionStrategySerializationDoesNotImpactDeserialization,     NEW com.google.gson.GsonBuilder(),0
ExclusionStrategyFunctionalTest,testExclusionStrategySerializationDoesNotImpactDeserialization,     com.google.gson.GsonBuilder.addSerializationExclusionStrategy(ExclusionStrategy),0
ExclusionStrategyFunctionalTest,testExclusionStrategySerializationDoesNotImpactDeserialization,     com.google.gson.GsonBuilder.addDeserializationExclusionStrategy(ExclusionStrategy),0
ExclusionStrategyFunctionalTest,testExclusionStrategySerializationDoesNotImpactDeserialization,     com.google.gson.GsonBuilder.serializeNulls(),0
ExclusionStrategyFunctionalTest,testExclusionStrategySerializationDoesNotImpactDeserialization,     com.google.gson.GsonBuilder.create(),0
ExclusionStrategyFunctionalTest,testExclusionStrategySerializationDoesNotImpactDeserialization,"com.google.gson.Gson.fromJson(String, Class<SampleObjectForTest>)",1
ExclusionStrategyFunctionalTest,testExclusionStrategySerializationDoesNotImpactDeserialization,ASSERT com.google.common.truth.Truth.assertThat(Integer),2
ExclusionStrategyFunctionalTest,testExclusionStrategySerializationDoesNotImpactDeserialization,ASSERT com.google.common.truth.Subject.isEqualTo(Object),2
ExclusionStrategyFunctionalTest,testExclusionStrategySerializationDoesNotImpactDeserialization,ASSERT com.google.common.truth.Truth.assertThat(String),2
ExclusionStrategyFunctionalTest,testExclusionStrategySerializationDoesNotImpactDeserialization,ASSERT com.google.common.truth.Subject.isEqualTo(Object),2
ExclusionStrategyFunctionalTest,testExclusionStrategySerializationDoesNotImpactDeserialization,ASSERT com.google.common.truth.Truth.assertThat(Long),2
ExclusionStrategyFunctionalTest,testExclusionStrategySerializationDoesNotImpactDeserialization,ASSERT com.google.common.truth.Subject.isEqualTo(Object),2
