testClassName,testMethodName,potentialTargetQualifiedName,AAA
JsonReaderTest,testDoubles,TEST com.google.gson.stream.JsonReaderTest.reader(String),0
JsonReaderTest,testDoubles,NEW com.google.gson.stream.JsonReader(Reader),0
JsonReaderTest,testDoubles,com.google.gson.stream.JsonReader.beginArray(),1
JsonReaderTest,testDoubles,com.google.gson.stream.JsonReader.nextDouble(),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.Truth.assertThat(Double),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.DoubleSubject.isEqualTo(Object),2
JsonReaderTest,testDoubles,com.google.gson.stream.JsonReader.nextDouble(),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.Truth.assertThat(Double),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.DoubleSubject.isEqualTo(Object),2
JsonReaderTest,testDoubles,com.google.gson.stream.JsonReader.nextDouble(),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.Truth.assertThat(Double),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.DoubleSubject.isEqualTo(Object),2
JsonReaderTest,testDoubles,com.google.gson.stream.JsonReader.nextDouble(),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.Truth.assertThat(Double),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.DoubleSubject.isEqualTo(Object),2
JsonReaderTest,testDoubles,com.google.gson.stream.JsonReader.nextDouble(),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.Truth.assertThat(Double),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.DoubleSubject.isEqualTo(Object),2
JsonReaderTest,testDoubles,com.google.gson.stream.JsonReader.nextDouble(),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.Truth.assertThat(Double),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.DoubleSubject.isEqualTo(Object),2
JsonReaderTest,testDoubles,com.google.gson.stream.JsonReader.nextDouble(),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.Truth.assertThat(Double),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.DoubleSubject.isEqualTo(Object),2
JsonReaderTest,testDoubles,com.google.gson.stream.JsonReader.nextDouble(),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.Truth.assertThat(Double),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.DoubleSubject.isEqualTo(Object),2
JsonReaderTest,testDoubles,com.google.gson.stream.JsonReader.nextDouble(),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.Truth.assertThat(Double),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.DoubleSubject.isEqualTo(Object),2
JsonReaderTest,testDoubles,com.google.gson.stream.JsonReader.nextDouble(),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.Truth.assertThat(Double),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.DoubleSubject.isEqualTo(Object),2
JsonReaderTest,testDoubles,com.google.gson.stream.JsonReader.nextDouble(),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.Truth.assertThat(Double),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.DoubleSubject.isEqualTo(Object),2
JsonReaderTest,testDoubles,com.google.gson.stream.JsonReader.nextDouble(),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.Truth.assertThat(Double),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.DoubleSubject.isEqualTo(Object),2
JsonReaderTest,testDoubles,com.google.gson.stream.JsonReader.nextDouble(),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.Truth.assertThat(Double),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.DoubleSubject.isEqualTo(Object),2
JsonReaderTest,testDoubles,com.google.gson.stream.JsonReader.nextDouble(),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.Truth.assertThat(Double),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.DoubleSubject.isEqualTo(Object),2
JsonReaderTest,testDoubles,com.google.gson.stream.JsonReader.nextDouble(),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.Truth.assertThat(Double),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.DoubleSubject.isEqualTo(Object),2
JsonReaderTest,testDoubles,com.google.gson.stream.JsonReader.nextDouble(),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.Truth.assertThat(Double),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.DoubleSubject.isEqualTo(Object),2
JsonReaderTest,testDoubles,com.google.gson.stream.JsonReader.nextDouble(),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.Truth.assertThat(Double),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.DoubleSubject.isEqualTo(Object),2
JsonReaderTest,testDoubles,com.google.gson.stream.JsonReader.nextDouble(),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.Truth.assertThat(Double),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.DoubleSubject.isEqualTo(Object),2
JsonReaderTest,testDoubles,com.google.gson.stream.JsonReader.endArray(),2
JsonReaderTest,testDoubles,com.google.gson.stream.JsonReader.peek(),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.Truth.assertThat(JsonToken),2
JsonReaderTest,testDoubles,ASSERT com.google.common.truth.Subject.isEqualTo(Object),2
