testClassName,testMethodName,potentialTargetQualifiedName,AAA
JsonReaderTest,testStrictSemicolonDelimitedNameValuePair,TEST com.google.gson.stream.JsonReaderTest.reader(String),0
JsonReaderTest,testStrictSemicolonDelimitedNameValuePair,NEW com.google.gson.stream.JsonReader(Reader),0
JsonReaderTest,testStrictSemicolonDelimitedNameValuePair,com.google.gson.stream.JsonReader.beginObject(),1
JsonReaderTest,testStrictSemicolonDelimitedNameValuePair,com.google.gson.stream.JsonReader.nextName(),2
JsonReaderTest,testStrictSemicolonDelimitedNameValuePair,ASSERT com.google.common.truth.Truth.assertThat(String),2
JsonReaderTest,testStrictSemicolonDelimitedNameValuePair,ASSERT com.google.common.truth.Subject.isEqualTo(Object),2
JsonReaderTest,testStrictSemicolonDelimitedNameValuePair,com.google.gson.stream.JsonReader.nextBoolean(),2
JsonReaderTest,testStrictSemicolonDelimitedNameValuePair,ASSERT org.junit.Assert.fail(),2
JsonReaderTest,testStrictSemicolonDelimitedNameValuePair,"TEST com.google.gson.stream.JsonReaderTest.assertStrictError(MalformedJsonException, String)",2
JsonReaderTest,testStrictSemicolonDelimitedNameValuePair,     ASSERT com.google.common.truth.Truth.assertThat(Throwable),2
JsonReaderTest,testStrictSemicolonDelimitedNameValuePair,     ASSERT com.google.common.truth.ThrowableSubject.hasMessageThat(),2
JsonReaderTest,testStrictSemicolonDelimitedNameValuePair,     ASSERT com.google.common.truth.Subject.isEqualTo(Object),2
