testClassName,testMethodName,potentialTargetQualifiedName,AAA
ObjectTest,testArrayOfArraysDeserialization,NEW com.google.gson.functional.ObjectTest.ArrayOfArrays(),0
ObjectTest,testArrayOfArraysDeserialization,TEST GET com.google.gson.functional.ObjectTest.ArrayOfArrays.getExpectedJson(),0
ObjectTest,testArrayOfArraysDeserialization,     THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,     THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,     THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,     TEST GET com.google.gson.common.TestTypes.BagOfPrimitives.getExpectedJson(),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(long),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(int),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(boolean),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.toString(),0
ObjectTest,testArrayOfArraysDeserialization,     THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,     THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,     THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,     THIRD java.lang.StringBuilder.toString(),0
ObjectTest,testArrayOfArraysDeserialization,"com.google.gson.Gson.fromJson(String, Class<ArrayOfArrays>)",1
ObjectTest,testArrayOfArraysDeserialization,TEST GET com.google.gson.functional.ObjectTest.ArrayOfArrays.getExpectedJson(),0
ObjectTest,testArrayOfArraysDeserialization,     THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,     THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,     THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,     TEST GET com.google.gson.common.TestTypes.BagOfPrimitives.getExpectedJson(),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(long),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(int),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(boolean),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,          THIRD java.lang.StringBuilder.toString(),0
ObjectTest,testArrayOfArraysDeserialization,     THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,     THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,     THIRD java.lang.StringBuilder.append(String),0
ObjectTest,testArrayOfArraysDeserialization,     THIRD java.lang.StringBuilder.toString(),0
ObjectTest,testArrayOfArraysDeserialization,ASSERT com.google.common.truth.Truth.assertThat(String),2
ObjectTest,testArrayOfArraysDeserialization,ASSERT com.google.common.truth.Subject.isEqualTo(Object),2
