testClassName,testMethodName,potentialTargetQualifiedName,AAA
TypeAdapterRuntimeTypeWrapperTest,testJsonDeserializer_ReflectiveTreeSerializerDelegate,NEW com.google.gson.GsonBuilder(),0
TypeAdapterRuntimeTypeWrapperTest,testJsonDeserializer_ReflectiveTreeSerializerDelegate,NEW com.google.gson.functional.TypeAdapterRuntimeTypeWrapperTest.Deserializer(),0
TypeAdapterRuntimeTypeWrapperTest,testJsonDeserializer_ReflectiveTreeSerializerDelegate,"com.google.gson.GsonBuilder.registerTypeAdapter(Type, Object)",0
TypeAdapterRuntimeTypeWrapperTest,testJsonDeserializer_ReflectiveTreeSerializerDelegate,NEW com.google.gson.functional.TypeAdapterRuntimeTypeWrapperTest.Deserializer(),0
TypeAdapterRuntimeTypeWrapperTest,testJsonDeserializer_ReflectiveTreeSerializerDelegate,"com.google.gson.GsonBuilder.registerTypeAdapter(Type, Object)",0
TypeAdapterRuntimeTypeWrapperTest,testJsonDeserializer_ReflectiveTreeSerializerDelegate,com.google.gson.GsonBuilder.create(),0
TypeAdapterRuntimeTypeWrapperTest,testJsonDeserializer_ReflectiveTreeSerializerDelegate,NEW com.google.gson.functional.TypeAdapterRuntimeTypeWrapperTest.Container(),0
TypeAdapterRuntimeTypeWrapperTest,testJsonDeserializer_ReflectiveTreeSerializerDelegate,com.google.gson.Gson.toJson(Object),1
TypeAdapterRuntimeTypeWrapperTest,testJsonDeserializer_ReflectiveTreeSerializerDelegate,ASSERT com.google.common.truth.Truth.assertThat(String),2
TypeAdapterRuntimeTypeWrapperTest,testJsonDeserializer_ReflectiveTreeSerializerDelegate,ASSERT com.google.common.truth.Subject.isEqualTo(Object),2
