testClassName,testMethodName,potentialTargetQualifiedName,AAA
BasicConnectionTest,testBasicReconnectDefault,TEST com.microsoft.sqlserver.jdbc.resiliency.BasicConnectionTest.basicReconnect(String),1
BasicConnectionTest,testBasicReconnectDefault,     TEST com.microsoft.sqlserver.jdbc.resiliency.ResiliencyUtils.getConnection(String),0
BasicConnectionTest,testBasicReconnectDefault,          THIRD java.sql.DriverManager.getConnection(String),0
BasicConnectionTest,testBasicReconnectDefault,          TEST com.microsoft.sqlserver.jdbc.resiliency.ResiliencyUtils.minimizeIdleNetworkTracker(Connection),0
BasicConnectionTest,testBasicReconnectDefault,               THIRD GET java.lang.Object.getClass(),0
BasicConnectionTest,testBasicReconnectDefault,               THIRD GET java.lang.Class<>.getDeclaredFields(),0
BasicConnectionTest,testBasicReconnectDefault,               THIRD GET java.lang.reflect.Field.getName(),0
BasicConnectionTest,testBasicReconnectDefault,               THIRD SET java.lang.reflect.Field.setAccessible(boolean),0
BasicConnectionTest,testBasicReconnectDefault,               THIRD java.lang.reflect.Field.get(Object),0
BasicConnectionTest,testBasicReconnectDefault,               TEST com.microsoft.sqlserver.jdbc.resiliency.ResiliencyUtils.getConnectionFields(Connection),0
BasicConnectionTest,testBasicReconnectDefault,                    THIRD GET java.lang.Object.getClass(),0
BasicConnectionTest,testBasicReconnectDefault,                    THIRD GET java.lang.Class<>.getName(),0
BasicConnectionTest,testBasicReconnectDefault,                    THIRD GET java.lang.Class<>.getSuperclass(),0
BasicConnectionTest,testBasicReconnectDefault,                    THIRD GET java.lang.Class<>.getDeclaredFields(),0
BasicConnectionTest,testBasicReconnectDefault,                    THIRD GET java.lang.Class<>.getDeclaredFields(),0
BasicConnectionTest,testBasicReconnectDefault,               THIRD GET java.lang.reflect.Field.getName(),0
BasicConnectionTest,testBasicReconnectDefault,               THIRD SET java.lang.reflect.Field.setAccessible(boolean),0
BasicConnectionTest,testBasicReconnectDefault,               THIRD java.lang.reflect.Field.get(Object),0
BasicConnectionTest,testBasicReconnectDefault,               THIRD GET java.lang.Object.getClass(),0
BasicConnectionTest,testBasicReconnectDefault,"               THIRD java.lang.Class<>.getDeclaredMethod(String, Class<?>[])",0
BasicConnectionTest,testBasicReconnectDefault,               THIRD SET java.lang.reflect.Method.setAccessible(boolean),0
BasicConnectionTest,testBasicReconnectDefault,"               THIRD java.lang.reflect.Method.invoke(Object, Object[])",0
BasicConnectionTest,testBasicReconnectDefault,               ASSERT org.junit.Assert.fail(String),2
BasicConnectionTest,testBasicReconnectDefault,               THIRD GET java.lang.Throwable.getMessage(),0
