testClassName,testMethodName,potentialTargetQualifiedName,AAA
BvtTest,testStmtForwardOnlyUpdateable,NEW com.microsoft.sqlserver.testframework.DBConnection(String),0
BvtTest,testStmtForwardOnlyUpdateable,TEST com.microsoft.sqlserver.testframework.DBConnection.createStatement(DBResultSetTypes),0
BvtTest,testStmtForwardOnlyUpdateable,     NEW com.microsoft.sqlserver.testframework.DBStatement(DBConnection),0
BvtTest,testStmtForwardOnlyUpdateable,"     TEST com.microsoft.sqlserver.testframework.DBStatement.createStatement(int, int)",0
BvtTest,testStmtForwardOnlyUpdateable,"          com.microsoft.sqlserver.jdbc.SQLServerConnection.createStatement(int, int)",0
BvtTest,testStmtForwardOnlyUpdateable,          TEST com.microsoft.sqlserver.testframework.AbstractParentWrapper.parent(),0
BvtTest,testStmtForwardOnlyUpdateable,          TEST com.microsoft.sqlserver.testframework.AbstractParentWrapper.product(),0
BvtTest,testStmtForwardOnlyUpdateable,          TEST SET com.microsoft.sqlserver.testframework.DBStatement.setInternal(Object),0
BvtTest,testStmtForwardOnlyUpdateable,TEST com.microsoft.sqlserver.testframework.DBStatement.selectAll(DBTable),0
BvtTest,testStmtForwardOnlyUpdateable,     TEST GET com.microsoft.sqlserver.testframework.DBTable.getEscapedTableName(),0
BvtTest,testStmtForwardOnlyUpdateable,     TEST com.microsoft.sqlserver.testframework.DBTable.getEscapedColumnName(int),0
BvtTest,testStmtForwardOnlyUpdateable,          TEST com.microsoft.sqlserver.testframework.DBTable.getColumn(int),0
BvtTest,testStmtForwardOnlyUpdateable,               THIRD java.util.List<com.microsoft.sqlserver.testframework.DBColumn>.get(int),0
BvtTest,testStmtForwardOnlyUpdateable,          TEST GET com.microsoft.sqlserver.testframework.DBColumn.getEscapedColumnName(),0
BvtTest,testStmtForwardOnlyUpdateable,     THIRD java.sql.Statement.executeQuery(String),0
BvtTest,testStmtForwardOnlyUpdateable,"     NEW com.microsoft.sqlserver.testframework.DBResultSet(DBStatement, ResultSet, DBTable)",0
BvtTest,testStmtForwardOnlyUpdateable,TEST com.microsoft.sqlserver.testframework.DBResultSet.next(),0
BvtTest,testStmtForwardOnlyUpdateable,     THIRD java.sql.ResultSet.next(),0
BvtTest,testStmtForwardOnlyUpdateable,TEST com.microsoft.sqlserver.testframework.DBResultSet.next(),0
BvtTest,testStmtForwardOnlyUpdateable,     THIRD java.sql.ResultSet.next(),1
BvtTest,testStmtForwardOnlyUpdateable,TEST com.microsoft.sqlserver.testframework.DBResultSet.verifyCurrentRow(DBTable),2
