testClassName,testMethodName,potentialTargetQualifiedName,AAA
ErrorMessageTest,testADPasswordWrongPasswordWithConnectionStringUser,THIRD java.sql.DriverManager.getConnection(String),0
ErrorMessageTest,testADPasswordWrongPasswordWithConnectionStringUser,THIRD java.lang.Enum<com.microsoft.sqlserver.jdbc.fedauth.FedauthCommon.SqlAuthentication>.toString(),1
ErrorMessageTest,testADPasswordWrongPasswordWithConnectionStringUser,ASSERT org.junit.jupiter.api.Assertions.fail(String),2
ErrorMessageTest,testADPasswordWrongPasswordWithConnectionStringUser,ASSERT org.junit.jupiter.api.Assertions.fail(String),2
ErrorMessageTest,testADPasswordWrongPasswordWithConnectionStringUser,"ASSERT org.junit.Assert.assertTrue(String, boolean)",2
ErrorMessageTest,testADPasswordWrongPasswordWithConnectionStringUser,THIRD GET java.lang.Throwable.getMessage(),2
ErrorMessageTest,testADPasswordWrongPasswordWithConnectionStringUser,THIRD GET java.lang.Throwable.getMessage(),2
ErrorMessageTest,testADPasswordWrongPasswordWithConnectionStringUser,THIRD java.lang.String.contains(CharSequence),2
ErrorMessageTest,testADPasswordWrongPasswordWithConnectionStringUser,THIRD GET java.lang.Throwable.getCause(),2
ErrorMessageTest,testADPasswordWrongPasswordWithConnectionStringUser,THIRD GET java.lang.Throwable.getCause(),2
ErrorMessageTest,testADPasswordWrongPasswordWithConnectionStringUser,THIRD GET java.lang.Throwable.getMessage(),2
ErrorMessageTest,testADPasswordWrongPasswordWithConnectionStringUser,THIRD java.lang.String.toLowerCase(),2
ErrorMessageTest,testADPasswordWrongPasswordWithConnectionStringUser,THIRD java.lang.String.contains(CharSequence),2
ErrorMessageTest,testADPasswordWrongPasswordWithConnectionStringUser,THIRD GET java.lang.Throwable.getCause(),2
ErrorMessageTest,testADPasswordWrongPasswordWithConnectionStringUser,THIRD GET java.lang.Throwable.getCause(),2
ErrorMessageTest,testADPasswordWrongPasswordWithConnectionStringUser,THIRD GET java.lang.Throwable.getMessage(),2
ErrorMessageTest,testADPasswordWrongPasswordWithConnectionStringUser,THIRD java.lang.String.contains(CharSequence),2
ErrorMessageTest,testADPasswordWrongPasswordWithConnectionStringUser,THIRD GET java.lang.Throwable.getCause(),2
ErrorMessageTest,testADPasswordWrongPasswordWithConnectionStringUser,THIRD GET java.lang.Throwable.getCause(),2
ErrorMessageTest,testADPasswordWrongPasswordWithConnectionStringUser,THIRD GET java.lang.Throwable.getMessage(),2
ErrorMessageTest,testADPasswordWrongPasswordWithConnectionStringUser,THIRD java.lang.String.contains(CharSequence),2
ErrorMessageTest,testADPasswordWrongPasswordWithConnectionStringUser,THIRD GET java.lang.Throwable.getMessage(),2
ErrorMessageTest,testADPasswordWrongPasswordWithConnectionStringUser,THIRD java.lang.String.contains(CharSequence),2
