testClassName,testMethodName,potentialTargetQualifiedName,AAA
ErrorMessageTest,testAccessTokenWithUserAndPasswordWithDatasource,NEW com.microsoft.sqlserver.jdbc.SQLServerDataSource(),0
ErrorMessageTest,testAccessTokenWithUserAndPasswordWithDatasource,SET com.microsoft.sqlserver.jdbc.SQLServerDataSource.setServerName(String),0
ErrorMessageTest,testAccessTokenWithUserAndPasswordWithDatasource,SET com.microsoft.sqlserver.jdbc.SQLServerDataSource.setDatabaseName(String),0
ErrorMessageTest,testAccessTokenWithUserAndPasswordWithDatasource,SET com.microsoft.sqlserver.jdbc.SQLServerDataSource.setAccessToken(String),0
ErrorMessageTest,testAccessTokenWithUserAndPasswordWithDatasource,SET com.microsoft.sqlserver.jdbc.SQLServerDataSource.setUser(String),0
ErrorMessageTest,testAccessTokenWithUserAndPasswordWithDatasource,SET com.microsoft.sqlserver.jdbc.SQLServerDataSource.setPassword(String),0
ErrorMessageTest,testAccessTokenWithUserAndPasswordWithDatasource,GET com.microsoft.sqlserver.jdbc.SQLServerDataSource.getConnection(),1
ErrorMessageTest,testAccessTokenWithUserAndPasswordWithDatasource,ASSERT org.junit.jupiter.api.Assertions.fail(String),2
ErrorMessageTest,testAccessTokenWithUserAndPasswordWithDatasource,ASSERT org.junit.jupiter.api.Assertions.fail(String),2
ErrorMessageTest,testAccessTokenWithUserAndPasswordWithDatasource,THIRD GET java.lang.Throwable.getMessage(),0
ErrorMessageTest,testAccessTokenWithUserAndPasswordWithDatasource,THIRD java.lang.String.startsWith(String),0
ErrorMessageTest,testAccessTokenWithUserAndPasswordWithDatasource,"ASSERT org.junit.Assert.assertTrue(String, boolean)",2
ErrorMessageTest,testAccessTokenWithUserAndPasswordWithDatasource,THIRD GET java.lang.Throwable.getMessage(),0
