testClassName,testMethodName,potentialTargetQualifiedName,AAA
ErrorMessageTest,testSQLPasswordWithAzureDBWithConnectionStringUser,THIRD java.sql.DriverManager.getConnection(String),1
ErrorMessageTest,testSQLPasswordWithAzureDBWithConnectionStringUser,THIRD java.lang.Enum<com.microsoft.sqlserver.jdbc.fedauth.FedauthCommon.SqlAuthentication>.toString(),2
ErrorMessageTest,testSQLPasswordWithAzureDBWithConnectionStringUser,ASSERT org.junit.jupiter.api.Assertions.fail(String),2
ErrorMessageTest,testSQLPasswordWithAzureDBWithConnectionStringUser,ASSERT org.junit.jupiter.api.Assertions.fail(String),2
ErrorMessageTest,testSQLPasswordWithAzureDBWithConnectionStringUser,THIRD java.lang.String.split(String),0
ErrorMessageTest,testSQLPasswordWithAzureDBWithConnectionStringUser,"ASSERT org.junit.Assert.assertTrue(String, boolean)",2
ErrorMessageTest,testSQLPasswordWithAzureDBWithConnectionStringUser,THIRD GET java.lang.Throwable.getMessage(),2
ErrorMessageTest,testSQLPasswordWithAzureDBWithConnectionStringUser,THIRD GET java.lang.Throwable.getMessage(),2
ErrorMessageTest,testSQLPasswordWithAzureDBWithConnectionStringUser,THIRD java.lang.String.startsWith(String),2
ErrorMessageTest,testSQLPasswordWithAzureDBWithConnectionStringUser,THIRD GET java.lang.Throwable.getMessage(),2
ErrorMessageTest,testSQLPasswordWithAzureDBWithConnectionStringUser,THIRD java.lang.String.startsWith(String),2
