testClassName,testMethodName,potentialTargetQualifiedName,AAA
ErrorMessageTest,testSQLPasswordWithUntrustedSqlDB,THIRD java.lang.Enum<com.microsoft.sqlserver.jdbc.fedauth.FedauthCommon.SqlAuthentication>.toString(),0
ErrorMessageTest,testSQLPasswordWithUntrustedSqlDB,"THIRD java.util.Properties.put(Object, Object)",0
ErrorMessageTest,testSQLPasswordWithUntrustedSqlDB,"THIRD java.sql.DriverManager.getConnection(String, Properties)",1
ErrorMessageTest,testSQLPasswordWithUntrustedSqlDB,ASSERT org.junit.jupiter.api.Assertions.fail(String),2
ErrorMessageTest,testSQLPasswordWithUntrustedSqlDB,ASSERT org.junit.jupiter.api.Assertions.fail(String),2
ErrorMessageTest,testSQLPasswordWithUntrustedSqlDB,"ASSERT org.junit.Assert.assertTrue(String, boolean)",2
ErrorMessageTest,testSQLPasswordWithUntrustedSqlDB,THIRD GET java.lang.Throwable.getMessage(),2
ErrorMessageTest,testSQLPasswordWithUntrustedSqlDB,THIRD GET java.lang.Throwable.getMessage(),2
ErrorMessageTest,testSQLPasswordWithUntrustedSqlDB,THIRD java.lang.String.startsWith(String),2
ErrorMessageTest,testSQLPasswordWithUntrustedSqlDB,THIRD GET java.lang.Throwable.getMessage(),2
ErrorMessageTest,testSQLPasswordWithUntrustedSqlDB,THIRD java.lang.String.startsWith(String),2
