testClassName,testMethodName,potentialTargetQualifiedName,AAA
ErrorMessageTest,testSetAuthenticationWithIntegratedSecurityTrueWithDatasource,NEW com.microsoft.sqlserver.jdbc.SQLServerDataSource(),0
ErrorMessageTest,testSetAuthenticationWithIntegratedSecurityTrueWithDatasource,SET com.microsoft.sqlserver.jdbc.SQLServerDataSource.setServerName(String),0
ErrorMessageTest,testSetAuthenticationWithIntegratedSecurityTrueWithDatasource,SET com.microsoft.sqlserver.jdbc.SQLServerDataSource.setDatabaseName(String),0
ErrorMessageTest,testSetAuthenticationWithIntegratedSecurityTrueWithDatasource,SET com.microsoft.sqlserver.jdbc.SQLServerDataSource.setUser(String),0
ErrorMessageTest,testSetAuthenticationWithIntegratedSecurityTrueWithDatasource,SET com.microsoft.sqlserver.jdbc.SQLServerDataSource.setPassword(String),0
ErrorMessageTest,testSetAuthenticationWithIntegratedSecurityTrueWithDatasource,THIRD java.lang.Enum<com.microsoft.sqlserver.jdbc.fedauth.FedauthCommon.SqlAuthentication>.toString(),0
ErrorMessageTest,testSetAuthenticationWithIntegratedSecurityTrueWithDatasource,SET com.microsoft.sqlserver.jdbc.SQLServerDataSource.setAuthentication(String),0
ErrorMessageTest,testSetAuthenticationWithIntegratedSecurityTrueWithDatasource,SET com.microsoft.sqlserver.jdbc.SQLServerDataSource.setIntegratedSecurity(boolean),0
ErrorMessageTest,testSetAuthenticationWithIntegratedSecurityTrueWithDatasource,GET com.microsoft.sqlserver.jdbc.SQLServerDataSource.getConnection(),1
ErrorMessageTest,testSetAuthenticationWithIntegratedSecurityTrueWithDatasource,ASSERT org.junit.jupiter.api.Assertions.fail(String),2
ErrorMessageTest,testSetAuthenticationWithIntegratedSecurityTrueWithDatasource,ASSERT org.junit.jupiter.api.Assertions.fail(String),2
ErrorMessageTest,testSetAuthenticationWithIntegratedSecurityTrueWithDatasource,THIRD GET java.lang.Throwable.getMessage(),2
ErrorMessageTest,testSetAuthenticationWithIntegratedSecurityTrueWithDatasource,THIRD java.lang.String.startsWith(String),2
ErrorMessageTest,testSetAuthenticationWithIntegratedSecurityTrueWithDatasource,"ASSERT org.junit.Assert.assertTrue(String, boolean)",2
ErrorMessageTest,testSetAuthenticationWithIntegratedSecurityTrueWithDatasource,THIRD GET java.lang.Throwable.getMessage(),2
