testClassName,testMethodName,potentialTargetQualifiedName,AAA
ErrorMessageTest,testSqlPasswordWithoutUser,NEW com.microsoft.sqlserver.jdbc.SQLServerDataSource(),0
ErrorMessageTest,testSqlPasswordWithoutUser,SET com.microsoft.sqlserver.jdbc.SQLServerDataSource.setServerName(String),0
ErrorMessageTest,testSqlPasswordWithoutUser,SET com.microsoft.sqlserver.jdbc.SQLServerDataSource.setDatabaseName(String),0
ErrorMessageTest,testSqlPasswordWithoutUser,SET com.microsoft.sqlserver.jdbc.SQLServerDataSource.setPassword(String),0
ErrorMessageTest,testSqlPasswordWithoutUser,THIRD java.lang.Enum<com.microsoft.sqlserver.jdbc.fedauth.FedauthCommon.SqlAuthentication>.toString(),0
ErrorMessageTest,testSqlPasswordWithoutUser,SET com.microsoft.sqlserver.jdbc.SQLServerDataSource.setAuthentication(String),0
ErrorMessageTest,testSqlPasswordWithoutUser,GET com.microsoft.sqlserver.jdbc.SQLServerDataSource.getConnection(),1
ErrorMessageTest,testSqlPasswordWithoutUser,ASSERT org.junit.jupiter.api.Assertions.fail(String),2
ErrorMessageTest,testSqlPasswordWithoutUser,ASSERT org.junit.jupiter.api.Assertions.fail(String),2
ErrorMessageTest,testSqlPasswordWithoutUser,THIRD GET java.lang.Throwable.getMessage(),2
ErrorMessageTest,testSqlPasswordWithoutUser,THIRD java.lang.String.startsWith(String),2
ErrorMessageTest,testSqlPasswordWithoutUser,"ASSERT org.junit.Assert.assertTrue(String, boolean)",2
ErrorMessageTest,testSqlPasswordWithoutUser,THIRD GET java.lang.Throwable.getMessage(),2
