testClassName,testMethodName,potentialTargetQualifiedName,AAA
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,TEST com.microsoft.sqlserver.jdbc.datatypes.SQLServerSpatialDatatypeTest.beforeEachSetup(),0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,     com.microsoft.sqlserver.jdbc.SQLServerConnection.createStatement(),0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,     TEST com.microsoft.sqlserver.testframework.AbstractSQLGenerator.escapeIdentifier(String),0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,"     TEST com.microsoft.sqlserver.jdbc.TestUtils.dropTableIfExists(String, Statement)",0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,"          TEST com.microsoft.sqlserver.jdbc.TestUtils.dropObjectIfExists(String, String, Statement)",0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,               THIRD java.lang.String.startsWith(String),0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,               THIRD java.lang.StringBuilder.append(String),0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,               THIRD java.lang.StringBuilder.append(String),0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,               THIRD java.lang.String.endsWith(String),0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,               THIRD java.lang.StringBuilder.append(String),0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,               THIRD java.lang.StringBuilder.toString(),0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,               TEST com.microsoft.sqlserver.jdbc.TestUtils.escapeSingleQuotes(String),0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,"                    THIRD java.lang.String.replace(CharSequence, CharSequence)",0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,               TEST com.microsoft.sqlserver.jdbc.TestUtils.escapeSingleQuotes(String),0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,"                    THIRD java.lang.String.replace(CharSequence, CharSequence)",0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,               THIRD java.sql.Statement.executeUpdate(String),0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,               ASSERT org.junit.Assert.fail(String),2
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,               TEST com.microsoft.sqlserver.jdbc.TestResource.getResource(String),0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,                    THIRD java.util.ResourceBundle.getBundle(String),0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,                    THIRD java.util.ResourceBundle.getString(String),0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,               TEST com.microsoft.sqlserver.jdbc.TestResource.getResource(String),0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,                    THIRD java.util.ResourceBundle.getBundle(String),0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,                    THIRD java.util.ResourceBundle.getString(String),0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,               THIRD GET java.lang.Throwable.getMessage(),0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,     TEST com.microsoft.sqlserver.testframework.AbstractSQLGenerator.escapeIdentifier(String),0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,"     TEST com.microsoft.sqlserver.jdbc.TestUtils.dropTableIfExists(String, Statement)",0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,"          TEST com.microsoft.sqlserver.jdbc.TestUtils.dropObjectIfExists(String, String, Statement)",0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,               THIRD java.lang.String.startsWith(String),0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,               THIRD java.lang.StringBuilder.append(String),0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,               THIRD java.lang.StringBuilder.append(String),0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,               THIRD java.lang.String.endsWith(String),0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,               THIRD java.lang.StringBuilder.append(String),0
SQLServerSpatialDatatypeTest,testCheckGeogMetaData,               THIRD java.lang.StringBuilder.toString(),0
