projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
cloudstack;BumpUpPriorityCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/BumpUpPriorityCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/BumpUpPriorityCommand.java;JUnit4;80;3;Verbose Test;testSuperGetAccessDetail;35-73;35-73
cloudstack;BumpUpPriorityCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/BumpUpPriorityCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/BumpUpPriorityCommand.java;JUnit4;80;3;Assertion Roulette;testSuperGetAccessDetail;40-40;40-40
cloudstack;BumpUpPriorityCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/BumpUpPriorityCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/BumpUpPriorityCommand.java;JUnit4;80;3;Assertion Roulette;testSuperGetAccessDetail;44-44;44-44
cloudstack;BumpUpPriorityCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/BumpUpPriorityCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/BumpUpPriorityCommand.java;JUnit4;80;3;Assertion Roulette;testSuperGetAccessDetail;48-48;48-48
cloudstack;BumpUpPriorityCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/BumpUpPriorityCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/BumpUpPriorityCommand.java;JUnit4;80;3;Assertion Roulette;testSuperGetAccessDetail;52-52;52-52
cloudstack;BumpUpPriorityCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/BumpUpPriorityCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/BumpUpPriorityCommand.java;JUnit4;80;3;Assertion Roulette;testSuperGetAccessDetail;56-56;56-56
cloudstack;BumpUpPriorityCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/BumpUpPriorityCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/BumpUpPriorityCommand.java;JUnit4;80;3;Assertion Roulette;testSuperGetAccessDetail;60-60;60-60
cloudstack;BumpUpPriorityCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/BumpUpPriorityCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/BumpUpPriorityCommand.java;JUnit4;80;3;Assertion Roulette;testSuperGetAccessDetail;64-64;64-64
cloudstack;BumpUpPriorityCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/BumpUpPriorityCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/BumpUpPriorityCommand.java;JUnit4;80;3;Assertion Roulette;testSuperGetAccessDetail;68-68;68-68
cloudstack;BumpUpPriorityCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/BumpUpPriorityCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/BumpUpPriorityCommand.java;JUnit4;80;3;Assertion Roulette;testSuperGetAccessDetail;72-72;72-72
cloudstack;BumpUpPriorityCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/BumpUpPriorityCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/BumpUpPriorityCommand.java;JUnit4;80;3;Assertion Roulette;testExecuteInSequence;78-78;78-78
cloudstack;ChangeAgentCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/ChangeAgentCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/ChangeAgentCommand.java;JUnit4;52;4;Assertion Roulette;testGetAgentId;38-38;38-38
cloudstack;ChangeAgentCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/ChangeAgentCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/ChangeAgentCommand.java;JUnit4;52;4;Assertion Roulette;testGetEvent;44-44;44-44
cloudstack;ChangeAgentCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/ChangeAgentCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/ChangeAgentCommand.java;JUnit4;52;4;Assertion Roulette;testExecuteInSequence;50-50;50-50
cloudstack;SnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/SnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/SnapshotCommand.java;JUnit4;233;12;Duplicate Assert;testExecuteInSequence;207, 210;207, 210
cloudstack;SnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/SnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/SnapshotCommand.java;JUnit4;233;12;Eager Test;testGetVolumePath;195, 196, 199, 200;195, 196, 199, 200
cloudstack;SnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/SnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/SnapshotCommand.java;JUnit4;233;12;Assertion Roulette;testGetSecondaryStorageUrl;178-178;178-178
