projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
dubbo;EchoServiceTest;/Users/chenhao/.jnose_projects/dubbo/dubbo-compatible/src/test/java/org/apache/dubbo/echo/EchoServiceTest.java;/Users/chenhao/.jnose_projects/dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/bootstrap/EchoService.java;JUnit5;54;1;Assertion Roulette;testEcho;46-46;46-46
dubbo;EchoServiceTest;/Users/chenhao/.jnose_projects/dubbo/dubbo-compatible/src/test/java/org/apache/dubbo/echo/EchoServiceTest.java;/Users/chenhao/.jnose_projects/dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/bootstrap/EchoService.java;JUnit5;54;1;Assertion Roulette;testEcho;50-50;50-50
dubbo;CacheTest;/Users/chenhao/.jnose_projects/dubbo/dubbo-compatible/src/test/java/org/apache/dubbo/cache/CacheTest.java;/Users/chenhao/.jnose_projects/dubbo/dubbo-filter/dubbo-filter-cache/src/main/java/org/apache/dubbo/cache/Cache.java;JUnit5;106;2;Assertion Roulette;testCacheFactory;47-47;47-47
dubbo;ArgumentConfigTest;/Users/chenhao/.jnose_projects/dubbo/dubbo-compatible/src/test/java/org/apache/dubbo/config/ArgumentConfigTest.java;/Users/chenhao/.jnose_projects/dubbo/dubbo-common/src/main/java/org/apache/dubbo/config/ArgumentConfig.java;JUnit5;65;4;Magic Number Test;testIndex;37;37
dubbo;ArgumentConfigTest;/Users/chenhao/.jnose_projects/dubbo/dubbo-compatible/src/test/java/org/apache/dubbo/config/ArgumentConfigTest.java;/Users/chenhao/.jnose_projects/dubbo/dubbo-common/src/main/java/org/apache/dubbo/config/ArgumentConfig.java;JUnit5;65;4;Magic Number Test;testArguments;63;63
dubbo;ArgumentConfigTest;/Users/chenhao/.jnose_projects/dubbo/dubbo-compatible/src/test/java/org/apache/dubbo/config/ArgumentConfigTest.java;/Users/chenhao/.jnose_projects/dubbo/dubbo-common/src/main/java/org/apache/dubbo/config/ArgumentConfig.java;JUnit5;65;4;Lazy Test;testArguments, testIndex;57, 36;57, 36
dubbo;ArgumentConfigTest;/Users/chenhao/.jnose_projects/dubbo/dubbo-compatible/src/test/java/org/apache/dubbo/config/ArgumentConfigTest.java;/Users/chenhao/.jnose_projects/dubbo/dubbo-common/src/main/java/org/apache/dubbo/config/ArgumentConfig.java;JUnit5;65;4;Lazy Test;testArguments, testCallback;59, 50;59, 50
dubbo;ArgumentConfigTest;/Users/chenhao/.jnose_projects/dubbo/dubbo-compatible/src/test/java/org/apache/dubbo/config/ArgumentConfigTest.java;/Users/chenhao/.jnose_projects/dubbo/dubbo-common/src/main/java/org/apache/dubbo/config/ArgumentConfig.java;JUnit5;65;4;Lazy Test;testArguments, testCallback, testType, testIndex;56, 49, 42, 35;56, 49, 42, 35
dubbo;ArgumentConfigTest;/Users/chenhao/.jnose_projects/dubbo/dubbo-compatible/src/test/java/org/apache/dubbo/config/ArgumentConfigTest.java;/Users/chenhao/.jnose_projects/dubbo/dubbo-common/src/main/java/org/apache/dubbo/config/ArgumentConfig.java;JUnit5;65;4;Lazy Test;testArguments, testType;58, 43;58, 43
dubbo;ArgumentConfigTest;/Users/chenhao/.jnose_projects/dubbo/dubbo-compatible/src/test/java/org/apache/dubbo/config/ArgumentConfigTest.java;/Users/chenhao/.jnose_projects/dubbo/dubbo-common/src/main/java/org/apache/dubbo/config/ArgumentConfig.java;JUnit5;65;4;Eager Test;testIndex;35, 36, 37;35, 36, 37
dubbo;ArgumentConfigTest;/Users/chenhao/.jnose_projects/dubbo/dubbo-compatible/src/test/java/org/apache/dubbo/config/ArgumentConfigTest.java;/Users/chenhao/.jnose_projects/dubbo/dubbo-common/src/main/java/org/apache/dubbo/config/ArgumentConfig.java;JUnit5;65;4;Eager Test;testType;42, 43, 44;42, 43, 44
dubbo;ArgumentConfigTest;/Users/chenhao/.jnose_projects/dubbo/dubbo-compatible/src/test/java/org/apache/dubbo/config/ArgumentConfigTest.java;/Users/chenhao/.jnose_projects/dubbo/dubbo-common/src/main/java/org/apache/dubbo/config/ArgumentConfig.java;JUnit5;65;4;Eager Test;testCallback;49, 50, 51;49, 50, 51
dubbo;ArgumentConfigTest;/Users/chenhao/.jnose_projects/dubbo/dubbo-compatible/src/test/java/org/apache/dubbo/config/ArgumentConfigTest.java;/Users/chenhao/.jnose_projects/dubbo/dubbo-common/src/main/java/org/apache/dubbo/config/ArgumentConfig.java;JUnit5;65;4;Eager Test;testArguments;56, 57, 58, 59;56, 57, 58, 59
dubbo;ArgumentConfigTest;/Users/chenhao/.jnose_projects/dubbo/dubbo-compatible/src/test/java/org/apache/dubbo/config/ArgumentConfigTest.java;/Users/chenhao/.jnose_projects/dubbo/dubbo-common/src/main/java/org/apache/dubbo/config/ArgumentConfig.java;JUnit5;65;4;Assertion Roulette;testIndex;37-37;37-37
dubbo;ArgumentConfigTest;/Users/chenhao/.jnose_projects/dubbo/dubbo-compatible/src/test/java/org/apache/dubbo/config/ArgumentConfigTest.java;/Users/chenhao/.jnose_projects/dubbo/dubbo-common/src/main/java/org/apache/dubbo/config/ArgumentConfig.java;JUnit5;65;4;Assertion Roulette;testType;44-44;44-44
dubbo;ArgumentConfigTest;/Users/chenhao/.jnose_projects/dubbo/dubbo-compatible/src/test/java/org/apache/dubbo/config/ArgumentConfigTest.java;/Users/chenhao/.jnose_projects/dubbo/dubbo-common/src/main/java/org/apache/dubbo/config/ArgumentConfig.java;JUnit5;65;4;Assertion Roulette;testCallback;51-51;51-51
dubbo;ArgumentConfigTest;/Users/chenhao/.jnose_projects/dubbo/dubbo-compatible/src/test/java/org/apache/dubbo/config/ArgumentConfigTest.java;/Users/chenhao/.jnose_projects/dubbo/dubbo-common/src/main/java/org/apache/dubbo/config/ArgumentConfig.java;JUnit5;65;4;Assertion Roulette;testArguments;62-62;62-62
