Test_case,Multiple AAA,Missing Assert,Assert Pre,Suppressed Exception,Obscure Assert,Multiple Act,Arrange&Quit,testSmellName
MockServerTest.testIsMockServerCanUpgradeConnectionToSsl,,,1.0,,,,,"['Conditional Test Logic', 'Assertion Roulette', 'Exception Catching Throwing', 'Verbose Test', 'Eager Test']"
ScaleVMCmdTest.testCreateSuccess,,,1.0,,,,,"['Exception Catching Throwing', 'Verbose Test']"
NetworkTest.testDiscoverNetwork,1.0,,,,,,,['Unknown Test']
CloudStackPluginTest.testDomrExec,1.0,,,,,,,"['Assertion Roulette', 'Eager Test', 'Duplicate Assert']"
DedicateGuestVlanRangesTest.testReleaseDedicatedGuestVlanRange,1.0,,,,,,,[]
CallContextTest.testGetContextParameter,1.0,,,,,,,"['Assertion Roulette', 'Eager Test', 'Magic Number Test']"
DedicateGuestVlanRangesTest.testDedicateGuestVlanRange,1.0,,,,,,,[]
ConfigurationManagerTest.testDedicatePublicIpRange,1.0,,,,,,,['Unknown Test']
NexentaUtilTest.testParseNexentaPluginUrl,1.0,,,,,,,"['Assertion Roulette', 'Sensitive Equality', 'Duplicate Assert', 'Magic Number Test', 'Verbose Test', 'Eager Test']"
Ovm3StorageProcessorTest.deleteCommandTest,1.0,,,,,,,['Unknown Test']
NetUtilsTest.testisNetworkorBroadCastIP,1.0,,,,,,,"['Assertion Roulette', 'Duplicate Assert']"
NiciraNvpApiIT.testCRUDAcl,1.0,,,,,,,[]
CABackgroundTaskTest.testAutoRenewalDisabled,1.0,,,,,,,[]
QuotaServiceImplTest.testFindQuotaBalanceVO,1.0,,,,,,,['Assertion Roulette']
HAProxyConfiguratorTest.testGenerateConfigurationLoadBalancerConfigCommand,1.0,,,,,,,[]
QuotaEmailTemplateUpdateCmdTest.testQuotaEmailTemplateUpdateCmd,1.0,,,,,,,"['Assertion Roulette', 'Eager Test', 'Duplicate Assert', 'Exception Catching Throwing']"
DbUtilTest.getColumnName,1.0,,,,,,,[]
NiciraNvpGuestNetworkGuruTest.testCanHandle,1.0,,,,,,,"['Assertion Roulette', 'Duplicate Assert', 'Verbose Test']"
CertServiceTest.runDeleteSslCertValid,,1.0,,,,,,['Verbose Test']
DirectAgentTest.testDownloadTemplate,,1.0,,,,,,[]
ConsoleProxyManagerTest.testNewCPVMCreation,,1.0,,,,,,['Unknown Test']
QuotaServiceImplTest.testComputeAdjustedTime,,1.0,,,,,,['Unknown Test']
SnapshotTest.deleteSnapshot,,1.0,,,,,,"['Assertion Roulette', 'Conditional Test Logic']"
DbUtilTest.closeNull,,1.0,,,,,,[]
InstanceIpModelTest.testCreateInstanceIp,,1.0,,,,,,"['Exception Catching Throwing', 'Eager Test', 'Verbose Test']"
VolumeTestVmware.testDeleteDisk,,1.0,,,,,,[]
Ovm3VirtualRoutingResourceTest.prepareCommandFailTest,,,,,,,,['Unknown Test']
FirewallManagerTest.testApplyFWRules,,,,,,,,['IgnoredTest']
RouterDeploymentDefinitionTest.testDeployVirtualRouter,,,,,,,,"['Assertion Roulette', 'Eager Test', 'Exception Catching Throwing', 'Verbose Test']"
HAProxyConfiguratorTest.testGenerateConfigurationLoadBalancerProxyProtocolConfigCommand,,,,,,,,[]
LibvirtComputingResourceTest.testCreateVMFromSpec,,,,,,,,"['Unknown Test', 'Resource Optimism']"
NetworkHelperImplTest.testSendCommandsToRouter,,,,,,,,"['Assertion Roulette', 'Eager Test']"
HypervDirectConnectResourceTest.testGetVmStatsCommand,,,,,,,,[]
