Test_case,Multiple AAA,Missing Assert,Assert Pre,Suppressed Exception,Obscure Assert,Multiple Act,Arrange&Quit,testSmellName
UserCompactionTaskQueryTuningConfigTest.testSerdeNulls,,,1.0,,,,,['Assertion Roulette']
SegmentMetadataQueryTest.testSerde,,,1.0,,,,,"['Assertion Roulette', 'Eager Test', 'Magic Number Test']"
SqlSegmentsMetadataManagerTest.testPollOnDemand,,,1.0,,,,,"['Assertion Roulette', 'Eager Test', 'Duplicate Assert', 'Verbose Test']"
KinesisSupervisorTest.testQueueNextTasksOnSuccess,,,1.0,,,,,"['Assertion Roulette', 'Conditional Test Logic', 'Verbose Test']"
IndexerSQLMetadataStorageCoordinatorTest.testTransactionalAnnounceRetryAndSuccess,,,1.0,,,,,"['Assertion Roulette', 'Sensitive Equality', 'Magic Number Test', 'Verbose Test', 'Eager Test']"
SqlSegmentsMetadataManagerTest.testMarkAsUnusedSegmentsInIntervalWithInvalidInterval,,,1.0,,,,,"['Assertion Roulette', 'Eager Test']"
QuerySchedulerTest.testHiLoFailsWhenOutOfLaneCapacity,,,1.0,,,,,"['Assertion Roulette', 'Eager Test', 'Magic Number Test']"
MergeIntIteratorTest.testOverflow,1.0,,,,,,,[]
DruidAvaticaHandlerTest.testSqlRequestLog,1.0,,,,,,,"['Conditional Test Logic', 'Assertion Roulette', 'Exception Catching Throwing', 'Duplicate Assert', 'Magic Number Test', 'Verbose Test']"
SubstringDimExtractionFnTest.testNoLength,1.0,,,,,,,"['Assertion Roulette', 'Eager Test']"
OvershadowableManagerTest.testFindOvershadowedBy,1.0,,,,,,,"['Assertion Roulette', 'Verbose Test']"
ResourcePoolTest.testTimedOutResource,1.0,,,,,,,"['Assertion Roulette', 'Sleepy Test', 'Verbose Test']"
AvroFlattenerMakerTest.makeJsonPathExtractor,1.0,,,,,,,"['Assertion Roulette', 'Eager Test', 'Verbose Test']"
DataSourcesResourceTest.testGetServedSegmentsInIntervalInDataSource,1.0,,,,,,,"['Conditional Test Logic', 'Assertion Roulette', 'Magic Number Test', 'Verbose Test', 'Eager Test']"
BytesBoundedLinkedQueueTest.testOfferAndPut,1.0,,,,,,,"['Conditional Test Logic', 'Assertion Roulette', 'Exception Catching Throwing', 'Magic Number Test', 'Verbose Test', 'Eager Test']"
HashPartitionMultiPhaseParallelIndexingTest.testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,1.0,,,,,,,[]
CompressionUtilsTest.testZeroRemainingInputStream,1.0,,,,,,,[]
GranularityTest.testBucket,1.0,,,,,,,['Assertion Roulette']
TaskLockBoxConcurrencyTest.testDoInCriticalSectionWithDifferentTasks,1.0,,,,,,,[]
DictionaryMergeIteratorTest.basicTest,1.0,,,,,,,[]
LookupExtractionFnTest.testEqualsAndHash,1.0,,,,,,,"['Assertion Roulette', 'Eager Test', 'Conditional Test Logic', 'Verbose Test']"
ApproximateHistogramTest.testFold,1.0,,,,,,,"['Conditional Test Logic', 'Assertion Roulette', 'Magic Number Test', 'Verbose Test', 'Eager Test']"
ParserTest.testLiteralArraysExplicitLongParseException,1.0,,,,,,,['Unknown Test']
ExpressionVirtualColumnTest.testFloatSelector,1.0,,,,,,,"['Assertion Roulette', 'Duplicate Assert', 'Magic Number Test', 'Conditional Test Logic']"
AppenderatorTest.testMaxBytesInMemoryInMultipleSinks,1.0,,,,,,,"['Conditional Test Logic', 'Assertion Roulette', 'Exception Catching Throwing', 'Magic Number Test', 'Verbose Test']"
BloomKFilterTest.testBloomKFilterFloat,1.0,,,,,,,"['Conditional Test Logic', 'Assertion Roulette', 'Duplicate Assert', 'Magic Number Test', 'Verbose Test', 'Eager Test']"
FunctionTest.testRoundWithNonNumericValuesShouldReturn0,1.0,,,,,,,['Magic Number Test']
HashBasedNumberedShardSpecTest.testGetGroupKey,1.0,,,,,,,"['Assertion Roulette', 'Eager Test', 'Sensitive Equality']"
BloomKFilterTest.testBloomKFilterBytes,1.0,,,,,,,"['Conditional Test Logic', 'Assertion Roulette', 'Duplicate Assert', 'Magic Number Test', 'Verbose Test', 'Eager Test']"
KinesisSupervisorTest.testIsTaskCurrent,1.0,,,,,,,"['Assertion Roulette', 'Resource Optimism', 'Magic Number Test', 'Verbose Test']"
TimeseriesQueryQueryToolChestTest.testCacheKey,1.0,,,,,,,"['Assertion Roulette', 'Verbose Test']"
PendingTaskBasedProvisioningStrategyTest.testSomethingProvisioning,1.0,,,,,,,[]
IndexerSQLMetadataStorageCoordinatorTest.testTransactionalAnnounceSuccess,1.0,,,,,,,"['Assertion Roulette', 'Sensitive Equality', 'Magic Number Test', 'Verbose Test', 'Eager Test']"
PerSegmentQueryOptimizeTest.testFilteredAggregatorDontOptimizeOnNonTimeColumn,1.0,,,,,,,[]
SinkTest.testDedup,1.0,,,,,,,"['Assertion Roulette', 'Duplicate Assert', 'Magic Number Test', 'Verbose Test', 'Eager Test']"
OvershadowableManagerTest.testAddCompleteOvershadowedToCompletePartition2,1.0,,,,,,,"['Assertion Roulette', 'Duplicate Assert', 'Conditional Test Logic', 'Verbose Test']"
OvershadowableManagerTest.testAddStandbyChunksToIncompletePartition,1.0,,,,,,,"['Assertion Roulette', 'Duplicate Assert']"
ThriftInputRowParserTest.testParse,1.0,,,,,,,['Unknown Test']
SegmentManagerTest.testNonExistingSegmentsSequentially,1.0,,,,,,,[]
GranularityTest.testSecondToDate,1.0,,,,,,,"['Unknown Test', 'Verbose Test']"
GranularityTest.testFifteenMinuteToDate,1.0,,,,,,,"['Unknown Test', 'Verbose Test']"
ParallelMergeCombiningSequenceTest.testMixedSingleAndMultiYield,1.0,,,,,,,"['Duplicate Assert', 'Magic Number Test']"
CoordinatorResourceTest.testIsLeader,1.0,,,,,,,"['Assertion Roulette', 'Eager Test', 'Magic Number Test']"
BaseAveragerTest.testSkip,1.0,,,,,,,[]
ExtractionDimensionSpecTest.testSerdeBackwardsCompatibility,1.0,,,,,,,"['Assertion Roulette', 'Eager Test', 'Verbose Test']"
KinesisIndexTaskTest.testIncrementalHandOffReadsThroughEndOffsets,1.0,,,,,,,"['Conditional Test Logic', 'Assertion Roulette', 'Duplicate Assert', 'Magic Number Test', 'Verbose Test', 'Eager Test', 'Sleepy Test']"
SupervisorResourceTest.testSpecGetHistoryWithAuthFailure,1.0,,,,,,,"['Assertion Roulette', 'Duplicate Assert', 'Magic Number Test', 'Verbose Test']"
DruidSchemaTest.testAvailableSegmentMetadataIsRealtime,1.0,,,,,,,"['Assertion Roulette', 'Duplicate Assert', 'Verbose Test']"
TimeFilteringTest.testTimeFilterWithExtractionFn,1.0,,,,,,,[]
DruidSchemaTest.testLocalSegmentCacheSetsDataSourceAsBroadcastButNotJoinable,1.0,,,,,,,"['Assertion Roulette', 'Duplicate Assert', 'Verbose Test']"
CompactionTaskRunTest.testWithSegmentGranularity,1.0,,,,,,,[]
KinesisRecordSupplierTest.testPollAfterSeek,1.0,,,,,,,"['Conditional Test Logic', 'Assertion Roulette', 'Magic Number Test', 'Verbose Test', 'Eager Test', 'Sleepy Test']"
GranularityTest.testSixHourToDate,1.0,,,,,,,"['Unknown Test', 'Verbose Test']"
DataGeneratorTest.testSequential,,1.0,,,,,,"['Eager Test', 'Unknown Test', 'Conditional Test Logic', 'Verbose Test']"
TransformerTest.testTransformWithTransformAndFilterTransformFirst,,,,,,,,"['Assertion Roulette', 'Eager Test']"
QueryResourceTest.testTruncatedResponseContextShouldFail,,,,,,,,"['Assertion Roulette', 'Eager Test', 'Sensitive Equality', 'Magic Number Test']"
KinesisIndexTaskTest.testIncrementalHandOffMaxTotalRows,,,,,,,,"['Conditional Test Logic', 'Assertion Roulette', 'Magic Number Test', 'Verbose Test', 'Sleepy Test']"
BasicHTTPAuthenticatorTest.testBadPasswordWithSkipOnFailureValidator,,,,,,,,"['Eager Test', 'Unknown Test', 'Verbose Test']"
SmooshedFileMapperTest.testBehaviorWhenReportedSizesLargeAndExceptionIgnored,,,,,,,,"['Conditional Test Logic', 'Assertion Roulette', 'Exception Catching Throwing', 'Magic Number Test', 'Verbose Test', 'Mystery Guest', 'Eager Test', 'Resource Optimism']"
OvershadowableManagerTest.testRemoveStandbyChunk,,,,,,,,"['Assertion Roulette', 'Duplicate Assert', 'Conditional Test Logic']"
CalciteQueryTest.testPrimitiveAnyInSubquery,,,,,,,,[]
GroupByLimitPushDownInsufficientBufferTest.testPartialLimitPushDownMerge,,,,,,,,[]
DoublesSketchSqlAggregatorTest.testQuantileOnInnerQuery,,,,,,,,[]
