Test_case,Multiple AAA,Missing Assert,Assert Pre,Suppressed Exception,Obscure Assert,Multiple Act,Arrange&Quit,testSmellName
AbstractZookeeperTransporterTest.testRepeatConnect,,,1.0,,,,,"['Assertion Roulette', 'Duplicate Assert', 'Magic Number Test']"
AbstractRegistryTest.testSubscribe,,,1.0,,,,,"['Assertion Roulette', 'Eager Test', 'Duplicate Assert', 'Exception Catching Throwing']"
AbstractRegistryTest.testUnsubscribe,,,1.0,,,,,"['Assertion Roulette', 'Eager Test', 'Duplicate Assert', 'Exception Catching Throwing']"
RpcUtilsTest.testGetParameterTypes,1.0,,,,,,,"['Assertion Roulette', 'Magic Number Test', 'Verbose Test']"
ChannelBufferStreamTest.testAll,1.0,,,,,,,[]
SystemConfigurationTest.testConvert,1.0,,,,,,,['Assertion Roulette']
RpcInvocationTest.testAttachment,1.0,,,,,,,"['Assertion Roulette', 'Eager Test', 'Magic Number Test']"
ApolloDynamicConfigurationTest.testGetRule,1.0,,,,,,,"['Assertion Roulette', 'Eager Test']"
MockClusterInvokerTest.testMockInvokerFromOverride_Invoke_Fock_WithOutDefault,1.0,,,,,,,"['Assertion Roulette', 'Exception Catching Throwing']"
ServiceDiscoveryTest.testGetInstancesWithHealthy,1.0,,,,,,,"['Conditional Test Logic', 'Assertion Roulette', 'Duplicate Assert', 'Magic Number Test', 'Verbose Test']"
ResultMergerTest.testFloatArrayMerger,1.0,,,,,,,[]
ResultMergerTest.testBooleanArrayMerger,1.0,,,,,,,[]
InvokerTelnetHandlerTest.testInvokeOverriddenMethodBySelect,1.0,,,,,,,[]
ResultMergerTest.testListMerger,1.0,,,,,,,[]
ReferenceConfigTest.testReferenceRetry,1.0,,,,,,,"['Assertion Roulette', 'Exception Catching Throwing', 'Verbose Test']"
RegistryDirectoryTest.test_Constructor_WithErrorParam,1.0,,,,,,,"['Assertion Roulette', 'Exception Catching Throwing', 'Duplicate Assert']"
ZookeeperRegistryTest.testStatusChecker,1.0,,,,,,,['Assertion Roulette']
URLBuilderTest.shouldAddParameter,1.0,,,,,,,"['Assertion Roulette', 'Eager Test']"
ReferenceCountExchangeClientTest.test_counter_error,1.0,,,,,,,"['Assertion Roulette', 'Exception Catching Throwing', 'Duplicate Assert', 'Magic Number Test', 'Verbose Test', 'Eager Test', 'Sleepy Test']"
